kakou_no,statusRate,X,Y
3701811201,0.18 ,117.46574,36.64915
3701811202,0.18 ,117.46112,36.69297
3701811203,0.18 ,117.46691,36.66804
3701811801,0.18 ,117.49935,36.96224
3701812001,0.16 ,117.51075,36.85782
3701812401,0.17 ,117.50772,36.67602
3701812402,0.17 ,117.54048,36.68256
3701979101,0.97 ,117.1003039,36.69276336
3701979102,0.98 ,117.109278,36.6797777
3701979105,0.72 ,117.1906642,36.67320646
3701979604,0.98 ,117.113548,36.68092831
3701979605,0.85 ,117.1231108,36.6848148
3701979606,0.98 ,117.126895,36.68614439
3701979607,0.97 ,117.1307304,36.6887013
3701979622,0.68 ,117.0714358,36.67160839
